@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R75-97-weka.filters.unsupervised.attribute.Remove-R6,15,2,4'

@attribute Sigdist numeric
@attribute AYXV numeric
@attribute VEL1X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
1423.9982,-0.000654,0,795.844871,-0.207917,0.09096,0,0,-0.239848,13.510121,1445.73195,19.98,99,76,0.61378,1022.260644,884.313828,199958813.402988,13.510121,19980,201,-9283,-10697,-9225,-10747,0,8,8,0,109,109,32,78,78,15,62,62,313,391,391,47,62,62,16,78,79,15,78,94,62,109,453,94,31,16,62,47,62,47,32,94,234,78,62,125,16,31,63,15,4029,44
1293.40088,-0.007504,0,54.596751,-0.097462,0.162434,0.024356,-0.001791,0.164018,9.129347,1404.01866,18.17,67,56,0.504137,1043.19931,412.10825,145006924.497742,9.129347,18170,186,-17703,-467,-7977,-10035,0,8,7,0,78,15,93,16,93,32,62,62,16,47,516,578,32,47,125,16,437,63,62,78,94,94,15,31,94,32,63,62,47,63,94,94,172,16,16,78,94,47,32,46,3846,44
1366.5938,-0.005948,0,141.469699,-0.01462,-0.336236,0,0,0.355956,10.689635,1396.027,13.206,59,57,0.538377,1102.85046,371.060123,97761788.557544,10.689635,13206,157,-13206,0,-6060,-7113,0,8,8,0,16,79,172,63,78,62,50,62,313,391,484,79,62,79,47,15,250,78,47,90,62,94,640,63,437,16,62,47,62,47,32,94,234,78,46,32,62,31,63,15,4828,44
10.9937,0.00361,-0.162112,-9.962562,-0.157856,0.185824,0.000185,0.002117,0.181577,10.052199,1616.483106,28.97,86,62,0.496757,820.605146,439.084842,339076849.524244,10.052199,28970,188,-22214,-6756,-18095,-10858,8,8,8,0,62,62,188,62,62,32,78,78,109,219,219,15,63,78,125,63,79,46,47,78,125,63,94,16,109,63,62,94,63,93,63,78,16,78,63,62,78,79,171,63,3970,45
1561.41784,0.001168,0.491089,-494.601701,-0.062943,-0.152281,0.067963,0.000747,0.001417,8.725812,1569.019644,16.101,42,39,0.534488,874.755934,639.128235,229217987.692611,8.725812,16101,148,-10442,-5659,-8706,-7379,0,17,0,17,63,453,31,94,62,78,78,47,62,63,62,47,94,94,62,47,93,47,63,63,109,63,94,78,78,62,94,47,47,109,47,94,62,16,62,63,78,63,46,63,3172,45
1557.32443,-0.001022,0,582.147631,-0.149058,-0.229315,0,-0.000772,-0.128455,10.246741,1570.87144,17.158,46,35,0.567872,887.594387,700.46509,240915567.664968,10.246741,17158,151,-11760,-5398,-9344,-7797,0,7,0,16,62,62,94,62,47,63,47,78,109,219,62,32,94,16,78,94,62,16,78,79,63,94,78,47,93,63,62,94,63,93,63,78,16,78,63,266,109,79,171,63,3378,45
1560.24827,0.005573,0.060132,-21.675471,0.17199,-0.034394,0.018172,0.000692,-0.264874,6.119485,1646.2086,19.585,49,35,0.601381,963.152848,657.354336,190037000.831789,6.119485,19585,155,-14632,-4953,-12204,-7364,7,7,3580,0,156,156,16,94,94,62,78,78,172,266,266,47,94,93,63,94,78,157,93,94,312,63,79,46,114,594,63,93,109,31,94,94,31,78,63,78,15,94,31,78,4577,46
1602.74109,0.013012,0,-6.008375,0.086632,0.075803,0,0.004751,-0.413803,6.832045,1739.86838,15.976,29,28,0.619384,1016.539674,711.424106,183602112.973799,6.832045,15976,134,-10043,-5933,-7778,-8181,0,8,17,0,94,125,16,78,78,47,93,78,15,78,0,31,78,93,63,844,31,94,63,63,94,62,63,47,109,94,78,47,110,47,78,172,78,63,16,109,78,94,78,78,3844,46
1720.47362,0.006227,0,-4.265643,-0.009746,0.116951,0,0.000154,-0.204718,4.066419,1845.90561,15.353,35,26,0.673567,1120.990862,645.134086,209109780.867099,4.066419,15353,155,-11456,-3897,-7170,-8166,0,7,222,0,16,187,32,94,93,47,94,78,172,266,0,16,78,62,31,63,78,16,93,62,109,172,844,62,31,594,63,93,109,31,94,94,31,78,78,47,110,94,31,78,4530,46
2288.86445,0.010595,0.056373,-24.014705,0.019493,0.064973,0.014696,0.00501,-0.310102,7.314659,2309.0388,21.313,43,27,0.568305,1417.750956,413.200421,572361574.053708,7.314659,21313,134,-19149,-2164,-8986,-12310,8,8,17,0,94,94,141,78,78,62,63,63,141,281,281,47,47,32,187,47,62,94,62,125,31,63,47,140,234,47,78,63,93,156,47,15,93,16,16,78,94,47,94,47,3734,47
